Speaker_ID	Filename	Label	Similarity	Prosody	Transcription	Length	Age	Gender	Accent	Room_Size	Microphone_Distance	Recording_Device	Start_Time	End_Time
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0000.wav	WuW	Exact	Unknown	"""OK Aura."""	6.2640	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	2.9042	3.6805
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0001.wav	NonWuW	Exact with context	Unknown	"""OK Aura, ver encuentros y conferencias."""	3.8640	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	Unknown	Unknown
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0002.wav	NonWuW	Aura	Unknown	"""Con ese aura que tiene conseguirá lo que se proponga."""	3.4560	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	0.5417	2.9008
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0003.wav	NonWuW	OK	Unknown	"""OK, ¿qué te parece?"""	1.9440	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	0.5097	1.8867
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0004.wav	NonWuW	like Aura	Unknown	"""Llama a aquel restaurante, el del otro día."""	2.7120	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	0.5181	2.7120
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0005.wav	NonWuW	like OK	Unknown	"""Aquella de ahí."""	2.0880	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	0.7864	1.6048
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0006.wav	NonWuW	like OK Aura	Unknown	"""OK, ahora pásame el mando."""	2.4240	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	Close	Desktop	0.6531	2.2579
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0007.wav	WuW	Exact	Unknown	"""OK Aura."""	2.7120	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	2 meters	Desktop	0.9433	1.5542
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0008.wav	NonWuW	Exact with context	Unknown	"""A ver cuándo la echan. OK Aura."""	3.8400	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	2 meters	Desktop	Unknown	Unknown
gCWOiMTUosewLJRs	aura_wuw_gCWOiMTUosewLJRs_0009.wav	NonWuW	Aura	Unknown	"""¡Qué aura más positiva!"""	3.0960	40s	Female	España: Centro-sur peninsular (Madrid, Toledo, Castilla-La Mancha)	Medium (10 - 20 m2)	2 meters	Desktop	0.8505	1.9035
